Weight Name                                                   | Shape
----------------------------------------------------------------------------
lm_head.weight                                                | torch.Size([129280, 7168])
model.embed_tokens.weight                                     | torch.Size([129280, 7168])


model.layers.0.input_layernorm.weight                         | torch.Size([7168])
model.layers.0.mlp.down_proj.weight                           | torch.Size([7168, 18432])
model.layers.0.mlp.down_proj.weight_scale_inv                 | torch.Size([56, 144])
model.layers.0.mlp.gate_proj.weight                           | torch.Size([18432, 7168])
model.layers.0.mlp.gate_proj.weight_scale_inv                 | torch.Size([144, 56])
model.layers.0.mlp.up_proj.weight                             | torch.Size([18432, 7168])
model.layers.0.mlp.up_proj.weight_scale_inv                   | torch.Size([144, 56])
model.layers.0.post_attention_layernorm.weight                | torch.Size([7168])
model.layers.0.self_attn.kv_a_layernorm.weight                | torch.Size([512])
model.layers.0.self_attn.kv_a_proj_with_mqa.weight            | torch.Size([576, 7168])
model.layers.0.self_attn.kv_a_proj_with_mqa.weight_scale_inv  | torch.Size([5, 56])
model.layers.0.self_attn.kv_b_proj.weight                     | torch.Size([32768, 512])
model.layers.0.self_attn.kv_b_proj.weight_scale_inv           | torch.Size([256, 4])
model.layers.0.self_attn.o_proj.weight                        | torch.Size([7168, 16384])
model.layers.0.self_attn.o_proj.weight_scale_inv              | torch.Size([56, 128])
model.layers.0.self_attn.q_a_layernorm.weight                 | torch.Size([1536])
model.layers.0.self_attn.q_a_proj.weight                      | torch.Size([1536, 7168])
model.layers.0.self_attn.q_a_proj.weight_scale_inv            | torch.Size([12, 56])
model.layers.0.self_attn.q_b_proj.weight                      | torch.Size([24576, 1536])
model.layers.0.self_attn.q_b_proj.weight_scale_inv            | torch.Size([192, 12])


model.layers.1.input_layernorm.weight                         | torch.Size([7168])
model.layers.1.mlp.down_proj.weight                           | torch.Size([7168, 18432])
model.layers.1.mlp.down_proj.weight_scale_inv                 | torch.Size([56, 144])
model.layers.1.mlp.gate_proj.weight                           | torch.Size([18432, 7168])
model.layers.1.mlp.gate_proj.weight_scale_inv                 | torch.Size([144, 56])
model.layers.1.mlp.up_proj.weight                             | torch.Size([18432, 7168])
model.layers.1.mlp.up_proj.weight_scale_inv                   | torch.Size([144, 56])
model.layers.1.post_attention_layernorm.weight                | torch.Size([7168])
model.layers.1.self_attn.kv_a_layernorm.weight                | torch.Size([512])
model.layers.1.self_attn.kv_a_proj_with_mqa.weight            | torch.Size([576, 7168])
model.layers.1.self_attn.kv_a_proj_with_mqa.weight_scale_inv  | torch.Size([5, 56])
model.layers.1.self_attn.kv_b_proj.weight                     | torch.Size([32768, 512])
model.layers.1.self_attn.kv_b_proj.weight_scale_inv           | torch.Size([256, 4])
model.layers.1.self_attn.o_proj.weight                        | torch.Size([7168, 16384])
model.layers.1.self_attn.o_proj.weight_scale_inv              | torch.Size([56, 128])
model.layers.1.self_attn.q_a_layernorm.weight                 | torch.Size([1536])
model.layers.1.self_attn.q_a_proj.weight                      | torch.Size([1536, 7168])
model.layers.1.self_attn.q_a_proj.weight_scale_inv            | torch.Size([12, 56])
model.layers.1.self_attn.q_b_proj.weight                      | torch.Size([24576, 1536])
model.layers.1.self_attn.q_b_proj.weight_scale_inv            | torch.Size([192, 12])


model.layers.2.input_layernorm.weight                         | torch.Size([7168])
model.layers.2.mlp.down_proj.weight                           | torch.Size([7168, 18432])
model.layers.2.mlp.down_proj.weight_scale_inv                 | torch.Size([56, 144])
model.layers.2.mlp.gate_proj.weight                           | torch.Size([18432, 7168])
model.layers.2.mlp.gate_proj.weight_scale_inv                 | torch.Size([144, 56])
